title,description,start_time,end_time,organizer,checkIn,day
Réunion,Réunion Equipe Logistique,2024-02-17T06:30:00Z,2024-02-17T06:50:00Z,*,FALSE,1
Preparation logistique ,Decoration ( à discuter dans la reunion ),2024-02-17T06:50:00Z,2024-02-17T07:45:00Z,"JAtcPwAOcDZr4siZPVpsDeZVwtI3,ZkVxHM8rl2ZkRHiXgzbxvhL2RcA3,t2Gszos4q9P4kRswb4ndMMs8w4q1",FALSE,1
Preparation logistique ,Emplacement des bannières,2024-02-17T06:50:00Z,2024-02-17T07:45:00Z,"1nnRQQneVdeB2T6S4S7gvFoyqN22,tdMweVQjJZQym236zlLuqtzTtI83",FALSE,1
Preparation logistique ,"Preparation check-in  ( table, chaises , stickers )",2024-02-17T06:50:00Z,2024-02-17T07:45:00Z,"MDGHkiUVQnXdzVl3wHjbZpEy7DQ2,osX88ZdfRjeYsKwiXaJO0eS4vc42,sCpGAIfiMsSfjA5ltAkWNIubVgr1,rB5mTw6SnKOD5aESPZBHEkf1pZo1",FALSE,1
Preparation logistique ,Verification Micros & Datashow,2024-02-17T06:50:00Z,2024-02-17T07:45:00Z,"CBeVg9rAfOU0zdt3PPuHldWSXOH2,G4IjNN3YvOVzX4hluVBD8UZSNPO2",FALSE,1
Preparation logistique ,Preparation des badges,2024-02-17T06:50:00Z,2024-02-17T07:45:00Z,"QM4VfDRAepY5bqsWTmw5FaImrPm2,uncMAVBU8BOoTZFDhQOKFqXtuM62",FALSE,1
Preparation logistique ,"Preparation de la salle ( les tables, les chaises, les multiprises )",2024-02-17T06:50:00Z,2024-02-17T07:45:00Z,"4WAiEzNVzYeCTUzJzYOHerzHfHm2,QnrGPhWKfBdy9xXzT83uEXByjCY2,xSC9xEdKHGYXliHsTxpBCTHB6v42,mP1NBVbivNdsq2QzzkMVHAxFMPU2",FALSE,1
Accueil participants,Check in,2024-02-17T07:45:00Z,2024-02-17T08:50:00Z,"JAtcPwAOcDZr4siZPVpsDeZVwtI3,uncMAVBU8BOoTZFDhQOKFqXtuM62,BNMnZS3fFdX7wQWJ4PZP6L6tPeE2,TvP1Ospi42eh3LB2hNF8MPVJOpO2,xSC9xEdKHGYXliHsTxpBCTHB6v42,sCpGAIfiMsSfjA5ltAkWNIubVgr1",TRUE,1
Accueil participants,Orientation des participants ,2024-02-17T07:45:00Z,2024-02-17T08:50:00Z,"MDGHkiUVQnXdzVl3wHjbZpEy7DQ2,iaM8JiT0X4h9bTRGMRrZs2vF4Tr2",FALSE,1
Accueil participants,"Distribution (Badges , stickers , ...... ) ",2024-02-17T07:45:00Z,2024-02-17T08:50:00Z,"9VoIQnbPTbNO1OyHYFPbn7FDeUH2,ApAwFk0bXfh8FLE9iijL5vaiUdp1,ZzJVQ3VEZUT8u7qBU7iRU1COxH53",FALSE,1
